     Time     Replica1     Replica2     Replica3
   0      288.685      287.781      292.423
 100      383.407      323.375      371.010
 200      298.510      425.122      356.423
 300      368.524      447.146      431.530
 400      372.682      456.346      366.991
 500      354.842      432.567      437.263
 600      413.759      412.243      391.758
 700      413.744      419.503      407.015
 800      366.395      402.358      424.613
 900      438.340      484.234      456.494
1000      373.076      415.874      431.822
1100      443.186      382.105      400.117
1200      485.123      372.752      375.539
1300      504.859      438.508      377.664
1400      496.675      359.384      392.456
1500      462.492      308.726      446.928
1600      433.576      401.441      467.504
1700      490.881      342.775      407.023
1800      477.658      348.315      395.505
1900      369.293      419.251      406.931
2000      469.699      380.422      410.883
2100      425.746      430.267      462.099
2200      479.923      407.369      456.711
2300      474.633      457.705      500.722
2400      474.930      445.124      493.213
2500      430.664      457.973      467.798
2600      396.055      413.340      512.171
2700      392.139      378.018      463.349
2800      394.260      403.512      478.887
2900      421.950      414.897      442.142
3000      419.367      400.199      405.036
3100      418.797      434.569      491.080
3200      440.265      393.983      415.025
3300      468.889      442.661      401.334
3400      522.405      436.522      395.678
3500      502.705      428.042      392.723
3600      493.315      455.001      446.888
3700      454.993      422.996      383.548
3800      534.896      405.851      412.945
3900      473.089      411.717      353.011
4000      489.108      428.039      416.124
4100      475.972      465.077      364.068
4200      477.053      480.375      400.190
4300      456.867      419.045      395.551
4400      467.403      448.903      393.483
4500      452.030      400.336      402.860
4600      464.425      451.156      393.369
4700      501.629      429.023      391.782
4800      456.881      459.152      350.320
4900      472.771      390.728      468.940
5000      451.884      459.447      386.581
5100      472.008      416.126      348.778
5200      488.726      428.055      340.845
5300      503.671      470.615      414.525
5400      442.440      440.738      377.345
5500      560.309      429.397      357.059
5600      519.764      462.763      369.218
5700      523.275      439.785      433.933
5800      511.734      489.351      379.382
5900      487.430      414.446      420.983
6000      511.771      436.057      363.834
6100      543.278      438.025      413.114
6200      513.969      461.164      397.321
6300      563.610      479.340      406.679
6400      493.186      458.115      349.785
6500      486.580      471.850      415.979
6600      575.991      470.148      457.923
6700      602.006      486.109      464.156
6800      577.383      395.723      396.825
6900      517.566      425.959      392.841
7000      572.251      479.234      378.440
7100      541.366      456.215      425.519
7200      606.598      414.614      349.482
7300      580.341      454.023      358.240
7400      559.734      426.942      393.692
7500      573.944      376.907      398.380
7600      565.580      390.846      366.620
7700      532.013      380.559      456.256
7800      545.245      314.265      467.601
7900      551.971      332.129      447.025
8000      467.593      369.242      415.407
8100      503.099      354.041      444.759
8200      500.219      352.809      410.074
8300      540.608      298.585      418.693
8400      556.919      312.911      488.922
8500      565.395      366.771      435.528
8600      556.201      346.597      463.608
8700      568.731      325.628      400.166
8800      534.373      374.233      472.230
8900      492.356      359.931      488.950
9000      525.264      362.322      447.109
9100      502.959      384.337      494.185
9200      587.106      365.535      527.150
9300      555.993      354.397      476.248
9400      548.183      323.377      402.676
9500      528.801      371.019      415.362
9600      489.907      358.923      408.814
9700      557.361      367.087      351.085
9800      581.517      387.749      408.882
9900      549.664      383.357      389.208
10000      466.278      408.047      325.804
10100      510.479      442.658      349.170
10200      557.960      406.878      400.553
10300      542.529      379.678      424.667
10400      520.853      392.990      461.816
10500      466.267      345.019      487.377
10600      473.708      345.797      469.185
10700      480.968      408.977      470.651
10800      488.902      404.762      460.123
10900      524.815      359.467      440.227
11000      497.159      328.506      395.179
11100      520.511      297.056      414.417
11200      558.811      336.901      405.513
11300      627.357      374.332      365.592
11400      591.216      323.396      387.298
11500      576.776      387.650      352.783
11600      545.517      431.242      407.590
11700      532.025      410.574      374.041
11800      596.954      365.453      357.393
11900      582.359      449.990      350.598
12000      552.108      435.516      355.647
12100      548.193      411.276      349.374
12200      548.616      364.270      355.778
12300      531.298      392.658      375.207
12400      509.870      377.698      494.378
12500      539.340      427.998      398.821
12600      562.764      413.247      361.696
12700      601.136      418.116      435.302
12800      573.217      405.148      483.289
12900      569.971      458.652      424.891
13000      538.592      436.722      431.152
13100      553.397      405.965      422.591
13200      519.586      389.150      467.805
13300      508.102      359.005      378.040
13400      546.910      392.317      431.097
13500      536.259      361.088      500.645
13600      501.390      346.844      519.560
13700      509.804      352.022      476.196
13800      494.387      320.702      465.203
13900      567.654      371.068      450.876
14000      579.899      356.459      470.880
14100      498.082      342.282      503.699
14200      500.926      353.485      484.383
14300      520.584      381.428      482.037
14400      544.289      337.031      511.517
14500      518.999      375.153      510.705
14600      498.183      341.780      507.481
14700      544.611      294.589      487.587
14800      537.562      368.177      438.701
14900      532.480      270.281      483.370
15000      595.228      334.323      542.789
15100      556.623      325.135      521.857
15200      523.649      313.154      539.219
15300      560.179      280.939      450.370
15400      543.844      317.118      485.609
15500      596.033      279.498      437.545
15600      522.094      328.811      431.305
15700      601.407      300.307      465.038
15800      591.743      332.280      447.122
15900      581.271      321.517      464.331
16000      546.825      325.518      453.743
16100      566.841      350.061      459.434
16200      479.814      360.767      431.839
16300      511.815      335.017      463.479
16400      558.502      377.629      510.136
16500      555.100      367.177      466.677
16600      541.292      385.911      395.340
16700      587.805      384.303      474.604
16800      566.169      357.515      403.540
16900      579.637      370.100      422.402
17000      591.253      419.675      364.144
17100      539.985      347.650      410.778
17200      581.672      350.735      417.593
17300      571.748      352.654      446.048
17400      593.606      352.612      380.464
17500      600.650      361.624      353.254
17600      543.890      401.897      394.266
17700      541.034      376.998      354.686
17800      539.954      308.358      393.564
17900      618.248      334.165      418.673
18000      562.886      345.962      403.582
18100      572.375      375.699      456.840
18200      575.141      400.320      430.292
18300      553.974      343.174      430.675
18400      526.316      377.881      393.888
18500      487.349      363.133      442.488
18600      490.535      388.369      455.175
18700      530.086      343.523      449.444
18800      501.124      387.447      452.675
18900      472.377      428.172      499.550
19000      520.098      362.918      548.664
19100      584.455      393.015      512.498
19200      565.033      393.460      532.765
19300      548.665      407.515      475.522
19400      544.274      338.579      436.806
19500      480.322      325.410      379.268
19600      601.674      412.755      459.015
19700      546.719      411.108      420.380
19800      542.818      386.860      459.283
19900      551.230      347.267      468.359
20000      585.860      339.601      384.190
20100      615.209      450.145      357.550
20200      580.694      413.141      412.951
20300      546.135      400.472      381.445
20400      535.301      367.821      342.901
20500      589.756      332.258      354.640
20600      593.003      368.407      360.143
20700      588.299      339.941      390.442
20800      545.714      338.976      402.872
20900      532.320      369.780      393.608
21000      513.621      326.612      359.678
21100      549.412      340.059      380.862
21200      568.188      315.344      412.637
21300      583.360      353.041      468.548
21400      561.510      389.948      401.016
21500      582.229      390.465      450.945
21600      563.910      386.165      499.344
21700      553.891      345.503      441.668
21800      542.368      366.079      384.321
21900      576.151      402.839      378.362
22000      566.534      321.239      403.665
22100      506.117      368.536      383.374
22200      560.244      378.524      407.653
22300      557.938      355.976      387.784
22400      531.080      406.635      365.494
22500      542.609      416.181      408.611
22600      560.021      366.248      401.971
22700      528.246      354.127      329.525
22800      552.604      379.408      404.694
22900      469.864      426.731      348.636
23000      544.571      393.561      394.974
23100      529.210      401.468      400.603
23200      529.553      428.527      337.637
23300      474.744      399.273      343.908
23400      498.137      381.742      354.215
23500      488.358      368.190      372.043
23600      485.825      408.760      391.498
23700      490.260      457.540      376.726
23800      422.929      468.103      362.356
23900      447.186      427.110      318.324
24000      411.195      455.633      334.165
24100      468.237      445.269      388.712
24200      411.622      404.911      349.023
24300      474.456      388.234      401.622
24400      380.775      415.756      417.752
24500      402.962      374.942      398.755
24600      431.600      422.849      371.878
24700      487.784      352.719      437.945
24800      480.843      358.360      433.605
24900      494.380      317.715      461.087
25000      458.221      295.918      431.431
25100      444.556      330.645      374.274
25200      490.960      389.330      342.440
25300      441.991      355.678      405.936
25400      461.318      320.767      401.741
25500      464.071      338.771      415.724
25600      445.963      312.474      478.114
25700      488.720      272.733      452.218
25800      499.635      294.337      373.242
25900      471.275      315.075      420.541
26000      510.632      328.959      382.578
26100      544.561      334.835      389.047
26200      532.351      381.453      402.323
26300      514.628      321.508      395.906
26400      508.559      305.180      302.598
26500      517.058      362.110      333.597
26600      498.667      265.664      356.129
26700      521.598      300.537      338.215
