time     replica1     replica2     replica3
   0        9.544       18.046       18.328
  50        8.823       17.333       17.640
 100        9.293       17.722       16.968
 150        8.733       18.781       17.393
 200        8.720       18.367       17.280
 250        8.151       17.766       17.709
 300        8.872       17.533       16.864
 350        8.780       16.418       17.532
 400        8.585       16.633       16.966
 450        9.294       17.714       18.185
 500        8.580       16.831       17.179
 550        8.632       17.075       17.152
 600        8.783       15.842       17.654
 650        8.821       17.707       16.715
 700        8.895       16.749       18.507
 750        9.122       17.297       19.103
 800        9.066       17.459       19.422
 850        8.863       16.618       18.632
 900        8.608       16.855       17.915
 950        8.763       16.809       17.742
1000        8.934       16.744       18.656
1050        8.964       16.285       18.439
1100        8.860       16.499       17.890
1150        8.776       16.468       17.768
1200        8.630       17.704       17.070
1250        8.759       17.518       17.481
1300        9.008       17.796       18.160
1350        8.528       17.765       18.573
1400        8.685       16.828       18.178
1450        8.615       17.225       18.518
1500        8.555       16.815       19.364
1550        8.691       17.288       18.356
1600        8.671       17.606       18.771
1650        8.818       18.272       19.044
1700        8.946       17.815       18.220
1750        8.546       17.749       17.971
1800        8.855       17.059       18.169
1850        8.836       16.742       18.162
1900        9.019       17.522       18.461
1950        9.121       16.514       18.432
2000        8.277       16.346       18.802
2050        8.520       15.759       18.630
2100        8.360       16.754       17.707
2150        8.945       16.173       18.858
2200        9.049       17.271       18.712
2250        8.679       17.802       18.231
2300        8.610       16.497       17.474
2350        8.629       17.505       18.258
2400        8.903       17.132       17.029
2450        8.729       16.247       17.940
2500        9.116       16.862       17.196
2550        9.005       17.762       17.775
2600        8.793       16.716       17.766
2650        8.678       16.130       17.464
2700        8.741       17.425       18.332
2750        8.114       15.734       17.457
2800        8.893       16.234       17.970
2850        9.307       17.284       17.841
2900        9.051       16.141       18.312
2950        8.513       16.232       17.541
3000        8.802       17.422       17.528
3050        8.788       17.455       17.183
3100        8.934       17.530       16.944
3150        8.855       16.825       18.782
3200        8.404       17.799       17.371
3250        8.957       17.534       17.522
3300        9.329       17.789       17.512
3350        8.829       16.389       18.023
3400        8.627       17.049       17.433
3450        8.467       18.436       17.864
3500        8.869       17.589       17.512
3550        8.988       18.172       17.835
3600        8.799       18.617       17.972
3650        9.226       18.735       18.537
3700        8.526       17.967       17.700
3750        8.744       18.371       17.519
3800        9.075       18.698       17.170
3850        8.876       17.775       16.936
3900        8.668       18.244       18.246
3950        8.708       17.921       17.652
4000        9.254       18.074       18.438
4050        8.613       17.785       17.875
4100        9.032       19.043       17.731
4150        8.672       18.314       17.527
4200        9.012       18.372       17.566
4250        8.726       17.684       18.330
4300        8.565       17.522       17.869
4350        8.830       17.284       17.477
4400        8.728       17.973       18.135
4450        9.282       17.969       17.830
4500        8.709       18.246       17.186
4550        8.923       17.499       17.678
4600        8.660       17.434       17.997
4650        8.642       17.837       18.101
4700        8.763       16.931       17.901
4750        8.347       17.127       17.162
4800        8.740       17.223       17.590
4850        8.943       16.688       17.365
4900        8.842       16.650       17.495
4950        8.771       15.820       17.618
5000        8.804       17.129       17.373
5050        8.912       17.598       17.618
5100        8.372       16.882       16.818
5150        8.656       16.943       18.097
5200        9.159       17.250       18.007
5250        8.887       17.313       17.606
