Time,Replica1,Replica2,Replica3
0.0,2.40388,2.40081,2.40193
100.0,2.44018,2.40622,2.42012
200.0,2.43958,2.42849,2.4321
300.0,2.43436,2.43062,2.42491
400.0,2.42677,2.41522,2.43862
500.0,2.43087,2.43339,2.42395
600.0,2.44141,2.42473,2.43023
700.0,2.44355,2.41813,2.43106
800.0,2.43362,2.43045,2.42904
900.0,2.44179,2.43569,2.42437
1000.0,2.43644,2.4389,2.43663
1100.0,2.43875,2.42818,2.42618
1200.0,2.43727,2.43511,2.41861
1300.0,2.44964,2.43598,2.42588
1400.0,2.4508,2.43897,2.43125
1500.0,2.4365,2.43302,2.42579
1600.0,2.43972,2.43504,2.42912
1700.0,2.45498,2.45412,2.41953
1800.0,2.46871,2.4788,2.42392
1900.0,2.44788,2.48074,2.42916
2000.0,2.4472,2.45986,2.43129
2100.0,2.42486,2.47198,2.42745
2200.0,2.436,2.46842,2.42946
2300.0,2.42654,2.48523,2.44264
2400.0,2.42975,2.4622,2.43655
2500.0,2.41158,2.45228,2.41035
2600.0,2.42422,2.45112,2.41937
2700.0,2.42337,2.45863,2.41597
2800.0,2.4232,2.4498,2.42143
2900.0,2.41783,2.43685,2.40723
3000.0,2.41877,2.4365,2.41933
3100.0,2.43644,2.44514,2.41154
3200.0,2.41707,2.43915,2.42741
3300.0,2.42989,2.44594,2.431
3400.0,2.43716,2.45609,2.41614
3500.0,2.43559,2.47017,2.42816
3600.0,2.42067,2.46812,2.43505
3700.0,2.42186,2.45525,2.42157
3800.0,2.40355,2.48096,2.43383
3900.0,2.42543,2.48002,2.42066
4000.0,2.42062,2.46654,2.44087
4100.0,2.42675,2.46967,2.42874
4200.0,2.43719,2.46802,2.418
4300.0,2.45279,2.46144,2.41171
4400.0,2.44507,2.46802,2.43033
4500.0,2.45429,2.44756,2.43168
4600.0,2.43916,2.44787,2.44013
4700.0,2.44774,2.42803,2.42794
4800.0,2.44861,2.45449,2.4341
4900.0,2.43832,2.45809,2.44409
5000.0,2.43647,2.44608,2.43602
5100.0,2.42164,2.44725,2.43562
5200.0,2.41877,2.44023,2.42558
5300.0,2.42231,2.44948,2.44146
5400.0,2.42679,2.45219,2.43146
5500.0,2.42694,2.44399,2.44083
5600.0,2.42813,2.43168,2.43719
5700.0,2.43823,2.4407,2.44132
5800.0,2.42125,2.45766,2.43077
5900.0,2.43869,2.44665,2.43866
6000.0,2.43396,2.44433,2.43384
6100.0,2.43698,2.44985,2.44979
6200.0,2.43483,2.45873,2.43418
6300.0,2.42984,2.46751,2.4244
6400.0,2.42146,2.47166,2.42713
6500.0,2.41912,2.45396,2.41923
6600.0,2.44181,2.45859,2.44432
6700.0,2.43475,2.46485,2.43444
6800.0,2.43039,2.47744,2.41844
6900.0,2.44353,2.48041,2.44124
7000.0,2.42612,2.46062,2.43282
7100.0,2.43262,2.46117,2.44083
7200.0,2.43818,2.47852,2.42437
7300.0,2.43789,2.47016,2.42725
7400.0,2.4208,2.46903,2.42727
7500.0,2.42283,2.45459,2.43547
7600.0,2.43256,2.45226,2.4375
7700.0,2.43704,2.46834,2.43442
7800.0,2.45017,2.48106,2.45475
7900.0,2.42868,2.47854,2.43349
8000.0,2.44546,2.46119,2.43094
8100.0,2.44327,2.46924,2.43009
8200.0,2.44403,2.46991,2.43521
8300.0,2.43083,2.45994,2.41077
8400.0,2.44726,2.46833,2.42834
8500.0,2.43632,2.47071,2.43112
8600.0,2.44365,2.47548,2.41864
8700.0,2.4558,2.47953,2.41922
8800.0,2.42419,2.48001,2.4178
8900.0,2.42952,2.48145,2.42387
9000.0,2.44103,2.47622,2.41276
9100.0,2.44271,2.46282,2.41836
9200.0,2.4371,2.46861,2.42591
9300.0,2.43045,2.46517,2.41935
9400.0,2.44628,2.46122,2.41385
9500.0,2.45202,2.4618,2.43427
9600.0,2.44632,2.46329,2.42779
9700.0,2.44965,2.45772,2.43215
9800.0,2.41973,2.46849,2.44756
9900.0,2.44262,2.46124,2.44161
10000.0,2.41277,2.47033,2.44673
10100.0,2.43052,2.45996,2.43102
10200.0,2.42645,2.47884,2.41932
10300.0,2.43042,2.47897,2.42875
10400.0,2.43135,2.46309,2.42862
10500.0,2.42657,2.46107,2.43124
10600.0,2.43425,2.46958,2.42023
10700.0,2.42802,2.4672,2.42415
10800.0,2.43655,2.48758,2.42019
10900.0,2.42531,2.47569,2.44266
11000.0,2.43401,2.45021,2.42945
11100.0,2.43933,2.46141,2.41462
11200.0,2.44546,2.45887,2.42297
11300.0,2.45231,2.44151,2.42747
11400.0,2.46927,2.45892,2.43138
11500.0,2.44886,2.4727,2.42128
11600.0,2.45184,2.46959,2.42906
11700.0,2.4617,2.45528,2.43168
11800.0,2.4583,2.46076,2.43932
11900.0,2.44265,2.46046,2.42638
12000.0,2.44996,2.44697,2.43216
12100.0,2.45473,2.44262,2.44326
12200.0,2.45375,2.44712,2.43935
12300.0,2.44257,2.45625,2.42933
12400.0,2.44274,2.47206,2.42348
12500.0,2.44525,2.47738,2.42295
12600.0,2.43992,2.46169,2.42895
12700.0,2.43437,2.44001,2.42402
12800.0,2.43829,2.44762,2.44242
12900.0,2.44568,2.43929,2.43459
13000.0,2.42874,2.45874,2.43088
13100.0,2.43659,2.4642,2.42056
13200.0,2.43495,2.46756,2.43098
13300.0,2.43932,2.4567,2.42603
13400.0,2.43821,2.45548,2.4179
13500.0,2.43572,2.45329,2.4254
13600.0,2.44123,2.44844,2.43213
13700.0,2.4331,2.44874,2.42385
13800.0,2.43704,2.43247,2.43166
13900.0,2.43941,2.42866,2.42491
14000.0,2.43339,2.42962,2.41697
14100.0,2.43969,2.43666,2.42288
14200.0,2.4491,2.43024,2.42838
14300.0,2.43,2.43132,2.42787
14400.0,2.43242,2.42345,2.44509
14500.0,2.42426,2.43324,2.42356
14600.0,2.42603,2.42189,2.42824
14700.0,2.42086,2.42926,2.43437
14800.0,2.42531,2.42858,2.44025
14900.0,2.43981,2.43214,2.42924
15000.0,2.44787,2.43607,2.43031
15100.0,2.44779,2.45085,2.4208
15200.0,2.44446,2.44342,2.43952
15300.0,2.44681,2.43539,2.41923
15400.0,2.4409,2.43666,2.42996
15500.0,2.43348,2.4399,2.42048
15600.0,2.43707,2.46177,2.43147
15700.0,2.43116,2.46531,2.43316
15800.0,2.41145,2.43782,2.44544
15900.0,2.42764,2.43654,2.4307
16000.0,2.42583,2.43721,2.43587
