     Time     Replica1     Replica2     Replica3
   0        2.404        2.401        2.402
 100        2.440        2.406        2.420
 200        2.440        2.428        2.432
 300        2.434        2.431        2.425
 400        2.427        2.415        2.439
 500        2.431        2.433        2.424
 600        2.441        2.425        2.430
 700        2.444        2.418        2.431
 800        2.434        2.430        2.429
 900        2.442        2.436        2.424
1000        2.436        2.439        2.437
1100        2.439        2.428        2.426
1200        2.437        2.435        2.419
1300        2.450        2.436        2.426
1400        2.451        2.439        2.431
1500        2.437        2.433        2.426
1600        2.440        2.435        2.429
1700        2.455        2.454        2.420
1800        2.469        2.479        2.424
1900        2.448        2.481        2.429
2000        2.447        2.460        2.431
2100        2.425        2.472        2.427
2200        2.436        2.468        2.429
2300        2.427        2.485        2.443
2400        2.430        2.462        2.437
2500        2.412        2.452        2.410
2600        2.424        2.451        2.419
2700        2.423        2.459        2.416
2800        2.423        2.450        2.421
2900        2.418        2.437        2.407
3000        2.419        2.437        2.419
3100        2.436        2.445        2.412
3200        2.417        2.439        2.427
3300        2.430        2.446        2.431
3400        2.437        2.456        2.416
3500        2.436        2.470        2.428
3600        2.421        2.468        2.435
3700        2.422        2.455        2.422
3800        2.404        2.481        2.434
3900        2.425        2.480        2.421
4000        2.421        2.467        2.441
4100        2.427        2.470        2.429
4200        2.437        2.468        2.418
4300        2.453        2.461        2.412
4400        2.445        2.468        2.430
4500        2.454        2.448        2.432
4600        2.439        2.448        2.440
4700        2.448        2.428        2.428
4800        2.449        2.454        2.434
4900        2.438        2.458        2.444
5000        2.436        2.446        2.436
5100        2.422        2.447        2.436
5200        2.419        2.440        2.426
5300        2.422        2.449        2.441
5400        2.427        2.452        2.431
5500        2.427        2.444        2.441
5600        2.428        2.432        2.437
5700        2.438        2.441        2.441
5800        2.421        2.458        2.431
5900        2.439        2.447        2.439
6000        2.434        2.444        2.434
6100        2.437        2.450        2.450
6200        2.435        2.459        2.434
6300        2.430        2.468        2.424
6400        2.421        2.472        2.427
6500        2.419        2.454        2.419
6600        2.442        2.459        2.444
6700        2.435        2.465        2.434
6800        2.430        2.477        2.418
6900        2.444        2.480        2.441
7000        2.426        2.461        2.433
7100        2.433        2.461        2.441
7200        2.438        2.479        2.424
7300        2.438        2.470        2.427
7400        2.421        2.469        2.427
7500        2.423        2.455        2.435
7600        2.433        2.452        2.438
7700        2.437        2.468        2.434
7800        2.450        2.481        2.455
7900        2.429        2.479        2.433
8000        2.445        2.461        2.431
8100        2.443        2.469        2.430
8200        2.444        2.470        2.435
8300        2.431        2.460        2.411
8400        2.447        2.468        2.428
8500        2.436        2.471        2.431
8600        2.444        2.475        2.419
8700        2.456        2.480        2.419
8800        2.424        2.480        2.418
8900        2.430        2.481        2.424
9000        2.441        2.476        2.413
9100        2.443        2.463        2.418
9200        2.437        2.469        2.426
9300        2.430        2.465        2.419
9400        2.446        2.461        2.414
9500        2.452        2.462        2.434
9600        2.446        2.463        2.428
9700        2.450        2.458        2.432
9800        2.420        2.468        2.448
9900        2.443        2.461        2.442
10000        2.413        2.470        2.447
10100        2.431        2.460        2.431
10200        2.426        2.479        2.419
10300        2.430        2.479        2.429
10400        2.431        2.463        2.429
10500        2.427        2.461        2.431
10600        2.434        2.470        2.420
10700        2.428        2.467        2.424
10800        2.437        2.488        2.420
10900        2.425        2.476        2.443
11000        2.434        2.450        2.429
11100        2.439        2.461        2.415
11200        2.445        2.459        2.423
11300        2.452        2.442        2.427
11400        2.469        2.459        2.431
11500        2.449        2.473        2.421
11600        2.452        2.470        2.429
11700        2.462        2.455        2.432
11800        2.458        2.461        2.439
11900        2.443        2.460        2.426
12000        2.450        2.447        2.432
12100        2.455        2.443        2.443
12200        2.454        2.447        2.439
12300        2.443        2.456        2.429
12400        2.443        2.472        2.423
12500        2.445        2.477        2.423
12600        2.440        2.462        2.429
12700        2.434        2.440        2.424
12800        2.438        2.448        2.442
12900        2.446        2.439        2.435
13000        2.429        2.459        2.431
13100        2.437        2.464        2.421
13200        2.435        2.468        2.431
13300        2.439        2.457        2.426
13400        2.438        2.455        2.418
13500        2.436        2.453        2.425
13600        2.441        2.448        2.432
13700        2.433        2.449        2.424
13800        2.437        2.432        2.432
13900        2.439        2.429        2.425
14000        2.433        2.430        2.417
14100        2.440        2.437        2.423
14200        2.449        2.430        2.428
14300        2.430        2.431        2.428
14400        2.432        2.423        2.445
14500        2.424        2.433        2.424
14600        2.426        2.422        2.428
14700        2.421        2.429        2.434
14800        2.425        2.429        2.440
14900        2.440        2.432        2.429
15000        2.448        2.436        2.430
15100        2.448        2.451        2.421
15200        2.444        2.443        2.440
15300        2.447        2.435        2.419
15400        2.441        2.437        2.430
15500        2.433        2.440        2.420
15600        2.437        2.462        2.431
15700        2.431        2.465        2.433
15800        2.411        2.438        2.445
15900        2.428        2.437        2.431
16000        2.426        2.437        2.436
16100        2.426        2.445        2.428
16200        2.438        2.443        2.430
16300        2.441        2.446        2.443
16400        2.427        2.474        2.440
16500        2.443        2.466        2.441
16600        2.427        2.454        2.432
16700        2.444        2.473        2.437
16800        2.445        2.461        2.422
16900        2.431        2.485        2.439
17000        2.454        2.470        2.455
17100        2.455        2.464        2.447
17200        2.475        2.477        2.452
17300        2.467        2.464        2.461
17400        2.482        2.481        2.455
17500        2.463        2.483        2.464
17600        2.454        2.485        2.453
17700        2.463        2.491        2.447
17800        2.459        2.494        2.452
17900        2.456        2.502        2.442
18000        2.466        2.483        2.435
18100        2.458        2.484        2.445
18200        2.463        2.478        2.437
18300        2.433        2.472        2.444
18400        2.439        2.472        2.434
18500        2.457        2.461        2.427
18600        2.445        2.453        2.429
18700        2.439        2.447        2.423
18800        2.450        2.447        2.426
18900        2.444        2.451        2.428
19000        2.432        2.468        2.416
19100        2.430        2.483        2.426
19200        2.450        2.487        2.413
19300        2.447        2.467        2.414
19400        2.467        2.480        2.422
19500        2.437        2.469        2.436
19600        2.430        2.466        2.432
19700        2.437        2.477        2.418
19800        2.428        2.486        2.432
19900        2.434        2.468        2.423
20000        2.453        2.463        2.423
20100        2.443        2.464        2.425
20200        2.440        2.454        2.426
20300        2.434        2.449        2.424
20400        2.447        2.474        2.427
20500        2.436        2.458        2.441
20600        2.429        2.470        2.434
20700        2.433        2.482        2.429
20800        2.433        2.467        2.440
20900        2.420        2.445        2.449
21000        2.426        2.463        2.440
21100        2.432        2.482        2.430
21200        2.443        2.468        2.435
21300        2.432        2.479        2.433
21400        2.439        2.483        2.454
21500        2.425        2.477        2.452
21600        2.428        2.476        2.447
21700        2.453        2.490        2.449
21800        2.456        2.487        2.436
21900        2.444        2.465        2.435
22000        2.449        2.461        2.436
22100        2.441        2.464        2.439
22200        2.437        2.473        2.441
22300        2.449        2.466        2.440
22400        2.448        2.469        2.452
22500        2.439        2.488        2.448
22600        2.428        2.490        2.449
22700        2.444        2.488        2.441
22800        2.429        2.502        2.433
22900        2.444        2.487        2.433
23000        2.442        2.476        2.435
23100        2.431        2.476        2.433
23200        2.449        2.483        2.446
23300        2.455        2.475        2.440
23400        2.437        2.509        2.453
23500        2.453        2.484        2.440
23600        2.460        2.509        2.436
23700        2.447        2.496        2.437
23800        2.458        2.479        2.441
23900        2.454        2.496        2.437
24000        2.453        2.481        2.448
24100        2.452        2.482        2.443
24200        2.446        2.476        2.459
24300        2.460        2.467        2.453
24400        2.462        2.493        2.444
24500        2.461        2.480        2.445
24600        2.457        2.505        2.454
24700        2.447        2.480        2.450
24800        2.458        2.493        2.450
24900        2.444        2.490        2.431
25000        2.450        2.490        2.441
25100        2.438        2.485        2.442
25200        2.448        2.498        2.438
25300        2.452        2.503        2.438
25400        2.442        2.497        2.436
25500        2.445        2.496        2.441
25600        2.442        2.488        2.434
25700        2.443        2.497        2.455
25800        2.443        2.509        2.438
25900        2.447        2.489        2.447
26000        2.432        2.479        2.446
26100        2.434        2.506        2.456
26200        2.444        2.492        2.448
26300        2.432        2.490        2.448
26400        2.439        2.502        2.454
26500        2.431        2.500        2.450
26600        2.455        2.511        2.459
26700        2.454        2.503        2.451
26800        2.435        2.482        2.451
26900        2.449        2.484        2.431
27000        2.446        2.486        2.447
27100        2.447        2.487        2.445
27200        2.458        2.468        2.453
27300        2.448        2.490        2.441
27400        2.439        2.507        2.441
27500        2.455        2.488        2.442
27600        2.457        2.473        2.433
27700        2.444        2.498        2.446
27800        2.448        2.470        2.440
27900        2.431        2.477        2.447
28000        2.438        2.472        2.443
28100        2.430        2.482        2.442
28200        2.445        2.476        2.442
28300        2.440        2.490        2.450
28400        2.441        2.486        2.433
28500        2.425        2.480        2.451
28600        2.437        2.481        2.454
28700        2.426        2.493        2.456
28800        2.436        2.475        2.455
28900        2.421        2.477        2.449
29000        2.440        2.476        2.444
29100        2.437        2.482        2.444
29200        2.445        2.469        2.455
29300        2.437        2.483        2.441
29400        2.436        2.484        2.465
29500        2.433        2.491        2.461
29600        2.432        2.483        2.458
29700        2.424        2.471        2.447
29800        2.423        2.471        2.452
29900        2.436        2.462        2.440
30000        2.443        2.473        2.449
30100        2.441        2.477        2.437
30200        2.438        2.478        2.430
30300        2.452        2.465        2.437
30400        2.456        2.479        2.435
30500        2.451        2.471        2.435
30600        2.445        2.492        2.429
30700        2.441        2.483        2.449
30800        2.433        2.465        2.427
30900        2.432        2.489        2.437
31000        2.437        2.483        2.437
31100        2.429        2.481        2.437
31200        2.433        2.479        2.440
31300        2.438        2.480        2.426
31400        2.439        2.489        2.431
31500        2.435        2.480        2.436
31600        2.434        2.476        2.436
31700        2.429        2.485        2.445
31800        2.438        2.481        2.446
31900        2.426        2.486        2.453
32000        2.436        2.487        2.446
32100        2.426        2.477        2.451
32200        2.437        2.468        2.457
32300        2.439        2.487        2.438
32400        2.424        2.483        2.420
32500        2.450        2.491        2.429
32600        2.449        2.499        2.425
32700        2.438        2.499        2.421
32800        2.438        2.482        2.444
32900        2.435        2.497        2.443
33000        2.445        2.500        2.443
33100        2.446        2.508        2.441
33200        2.436        2.482        2.449
33300        2.444        2.492        2.459
33400        2.433        2.484        2.448
33500        2.438        2.495        2.446
33600        2.434        2.479        2.448
33700        2.443        2.492        2.448
33800        2.447        2.479        2.446
33900        2.441        2.477        2.443
34000        2.436        2.495        2.443
34100        2.449        2.484        2.428
34200        2.452        2.486        2.435
34300        2.449        2.474        2.444
34400        2.439        2.457        2.441
34500        2.451        2.464        2.462
34600        2.434        2.480        2.454
34700        2.432        2.485        2.457
34800        2.445        2.482        2.430
34900        2.443        2.493        2.436
35000        2.424        2.464        2.430
35100        2.423        2.474        2.426
35200        2.424        2.470        2.432
35300        2.428        2.478        2.445
35400        2.436        2.478        2.438
35500        2.423        2.471        2.439
35600        2.434        2.477        2.437
35700        2.424        2.478        2.442
35800        2.435        2.474        2.431
35900        2.453        2.473        2.438
36000        2.432        2.467        2.440
36100        2.439        2.490        2.427
36200        2.454        2.479        2.439
36300        2.438        2.501        2.450
36400        2.433        2.485        2.454
36500        2.436        2.492        2.438
36600        2.444        2.493        2.428
36700        2.449        2.499        2.441
36800        2.432        2.503        2.445
36900        2.423        2.485        2.438
37000        2.424        2.498        2.437
37100        2.428        2.482        2.435
37200        2.434        2.482        2.434
37300        2.430        2.481        2.436
37400        2.440        2.468        2.420
37500        2.434        2.461        2.423
37600        2.444        2.457        2.423
37700        2.422        2.463        2.433
37800        2.447        2.479        2.432
37900        2.442        2.467        2.441
38000        2.442        2.468        2.448
38100        2.439        2.468        2.450
38200        2.440        2.475        2.442
38300        2.429        2.475        2.444
38400        2.439        2.472        2.450
38500        2.434        2.466        2.433
38600        2.430        2.474        2.433
38700        2.434        2.474        2.428
38800        2.447        2.465        2.434
38900        2.434        2.456        2.445
39000        2.427        2.479        2.439
39100        2.446        2.472        2.437
39200        2.440        2.476        2.439
39300        2.441        2.472        2.443
39400        2.426        2.470        2.432
39500        2.429        2.458        2.433
39600        2.428        2.464        2.427
39700        2.428        2.461        2.432
39800        2.412        2.487        2.425
39900        2.432        2.478        2.431
40000        2.430        2.469        2.437
40100        2.432        2.470        2.435
40200        2.434        2.462        2.431
40300        2.435        2.489        2.433
40400        2.432        2.473        2.426
40500        2.448        2.470        2.430
40600        2.430        2.464        2.434
40700        2.432        2.471        2.441
40800        2.437        2.451        2.432
40900        2.432        2.447        2.437
41000        2.440        2.448        2.420
41100        2.429        2.455        2.431
41200        2.451        2.467        2.415
41300        2.448        2.475        2.434
41400        2.446        2.460        2.442
41500        2.433        2.472        2.441
41600        2.432        2.483        2.441
41700        2.430        2.487        2.449
41800        2.433        2.483        2.434
41900        2.436        2.480        2.435
42000        2.436        2.469        2.440
42100        2.442        2.471        2.439
42200        2.440        2.470        2.439
42300        2.438        2.465        2.449
42400        2.440        2.471        2.439
42500        2.427        2.484        2.434
42600        2.438        2.490        2.449
42700        2.436        2.479        2.444
42800        2.441        2.471        2.449
42900        2.449        2.485        2.447
43000        2.455        2.485        2.442
43100        2.454        2.476        2.438
43200        2.455        2.472        2.439
43300        2.433        2.462        2.442
43400        2.453        2.471        2.448
43500        2.439        2.489        2.439
43600        2.445        2.494        2.449
43700        2.445        2.486        2.448
43800        2.433        2.488        2.450
43900        2.442        2.502        2.429
44000        2.445        2.505        2.442
44100        2.446        2.499        2.440
44200        2.449        2.476        2.434
44300        2.444        2.473        2.446
44400        2.446        2.492        2.441
44500        2.447        2.487        2.419
44600        2.445        2.486        2.423
44700        2.440        2.484        2.436
44800        2.437        2.492        2.438
44900        2.437        2.471        2.445
45000        2.446        2.500        2.444
45100        2.442        2.491        2.449
45200        2.420        2.469        2.443
45300        2.436        2.477        2.444
45400        2.423        2.485        2.428
