Time,Replica1,Replica2,Replica3
0.0,9.544,18.046,18.328
50.0,8.823,17.333,17.64
100.0,9.293,17.722,16.968
150.0,8.733,18.781,17.393
200.0,8.72,18.367,17.28
250.0,8.151,17.766,17.709
300.0,8.872,17.533,16.864
350.0,8.78,16.418,17.532
400.0,8.585,16.633,16.966
450.0,9.294,17.714,18.185
500.0,8.58,16.831,17.179
550.0,8.632,17.075,17.152
600.0,8.783,15.842,17.654
650.0,8.821,17.707,16.715
700.0,8.895,16.749,18.507
750.0,9.122,17.297,19.103
800.0,9.066,17.459,19.422
850.0,8.863,16.618,18.632
900.0,8.608,16.855,17.915
950.0,8.763,16.809,17.742
1000.0,8.934,16.744,18.656
1050.0,8.964,16.285,18.439
1100.0,8.86,16.499,17.89
1150.0,8.776,16.468,17.768
1200.0,8.63,17.704,17.07
1250.0,8.759,17.518,17.481
1300.0,9.008,17.796,18.16
1350.0,8.528,17.765,18.573
1400.0,8.685,16.828,18.178
1450.0,8.615,17.225,18.518
1500.0,8.555,16.815,19.364
1550.0,8.691,17.288,18.356
1600.0,8.671,17.606,18.771
1650.0,8.818,18.272,19.044
1700.0,8.946,17.815,18.22
1750.0,8.546,17.749,17.971
1800.0,8.855,17.059,18.169
1850.0,8.836,16.742,18.162
1900.0,9.019,17.522,18.461
1950.0,9.121,16.514,18.432
2000.0,8.277,16.346,18.802
2050.0,8.52,15.759,18.63
2100.0,8.36,16.754,17.707
2150.0,8.945,16.173,18.858
2200.0,9.049,17.271,18.712
2250.0,8.679,17.802,18.231
2300.0,8.61,16.497,17.474
2350.0,8.629,17.505,18.258
2400.0,8.903,17.132,17.029
2450.0,8.729,16.247,17.94
2500.0,9.116,16.862,17.196
2550.0,9.005,17.762,17.775
2600.0,8.793,16.716,17.766
2650.0,8.678,16.13,17.464
2700.0,8.741,17.425,18.332
2750.0,8.114,15.734,17.457
2800.0,8.893,16.234,17.97
2850.0,9.307,17.284,17.841
2900.0,9.051,16.141,18.312
2950.0,8.513,16.232,17.541
3000.0,8.802,17.422,17.528
3050.0,8.788,17.455,17.183
3100.0,8.934,17.53,16.944
3150.0,8.855,16.825,18.782
3200.0,8.404,17.799,17.371
3250.0,8.957,17.534,17.522
3300.0,9.329,17.789,17.512
3350.0,8.829,16.389,18.023
3400.0,8.627,17.049,17.433
3450.0,8.467,18.436,17.864
3500.0,8.869,17.589,17.512
3550.0,8.988,18.172,17.835
3600.0,8.799,18.617,17.972
